,id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_nom_voie,code_commune,nom_commune,nombre_lots,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,month,year,m2
2709753,2019-1132334,2019-07-04,Vente,360000.0,RUE DES GROUETTES,77268,Magny-le-Hongre,1,Appartement,89.0,5.0,2.813544,48.869274,7,2019,4044.9438202247193
2709768,2019-1132343,2019-07-05,Vente,72000.0,RUE D AMSTERDAM,77307,Montévrain,1,Appartement,22.0,1.0,2.76756,48.853979,7,2019,3272.7272727272725
2709778,2019-1132348,2019-07-03,Vente,236500.0,RUE DE BRUXELLES,77307,Montévrain,1,Appartement,62.0,3.0,2.762698,48.855472,7,2019,3814.516129032258
2709850,2019-1132384,2019-06-27,Vente,180000.0,RUE DE PRAGUE,77307,Montévrain,1,Appartement,38.0,2.0,2.762352,48.854315,6,2019,4736.8421052631575
2709861,2019-1132390,2019-06-24,Vente,153250.0,RUE DE LA FONTAINE,77449,Serris,1,Appartement,33.0,1.0,2.795732,48.844443,6,2019,4643.939393939394
2709885,2019-1132403,2019-06-24,Vente,200000.0,RUE DES BEUYOTTES,77018,Bailly-Romainvilliers,1,Appartement,51.0,2.0,2.823393,48.853126,6,2019,3921.5686274509803
2709896,2019-1132411,2019-06-17,Vente,240500.0,RUE DE LA VERDAULEE,77018,Bailly-Romainvilliers,1,Appartement,64.0,3.0,2.823382,48.852684,6,2019,3757.8125
2709948,2019-1132438,2019-06-24,Vente,176000.0,SQ PAUL GAUGUIN,77268,Magny-le-Hongre,1,Appartement,47.0,3.0,2.812375,48.862491,6,2019,3744.68085106383
2710060,2019-1132504,2019-07-08,Vente,245000.0,RUE DES MURONS,77018,Bailly-Romainvilliers,1,Appartement,61.0,3.0,2.827996,48.853305,7,2019,4016.3934426229507
2710070,2019-1132510,2019-07-05,Vente,150000.0,RUE DU MOULIN A VENT,77268,Magny-le-Hongre,1,Appartement,36.0,2.0,2.809717,48.867114,7,2019,4166.666666666667
2710541,2019-1132726,2019-07-09,Vente,149000.0,COUR DE LA FORGE,77449,Serris,1,Appartement,29.0,1.0,2.789096,48.843444,7,2019,5137.931034482759
2710558,2019-1132736,2019-07-10,Vente,190000.0,RUE DE LA CLE DES CHAMPS,77268,Magny-le-Hongre,1,Appartement,80.0,4.0,2.815862,48.867012,7,2019,2375.0
2710571,2019-1132742,2019-07-12,Vente,223500.0,PL D AMILLY,77449,Serris,1,Appartement,58.0,3.0,2.787103,48.843547,7,2019,3853.448275862069
2710663,2019-1132783,2019-07-16,Vente,217450.0,RUE DE PARIS,77018,Bailly-Romainvilliers,1,Appartement,59.0,3.0,2.81983,48.845924,7,2019,3685.593220338983
2710711,2019-1132798,2019-07-19,Vente,246000.0,RUE DU MANOIR,77268,Magny-le-Hongre,1,Appartement,61.0,3.0,2.818006,48.869149,7,2019,4032.7868852459014
2710740,2019-1132810,2019-06-27,Vente,358000.0,RUE DE BRUXELLES,77307,Montévrain,1,Appartement,86.0,4.0,2.762698,48.855472,6,2019,4162.790697674419
2710742,2019-1132811,2019-06-21,Vente,147369.0,CRS DU DANUBE,77449,Serris,1,Appartement,38.0,2.0,2.78639,48.855954,6,2019,3878.1315789473683
2710754,2019-1132819,2019-07-12,Vente,265000.0,RUE DES LABOURS,77268,Magny-le-Hongre,1,Appartement,73.0,3.0,2.812858,48.870326,7,2019,3630.1369863013697
2710762,2019-1132824,2019-07-12,Vente,188100.0,RUE DE PARIS,77018,Bailly-Romainvilliers,1,Appartement,46.0,2.0,2.81983,48.845924,7,2019,4089.1304347826085
2710769,2019-1132826,2019-07-17,Vente,138000.0,RUE D AMSTERDAM,77307,Montévrain,1,Appartement,35.0,1.0,2.76756,48.853979,7,2019,3942.8571428571427
2711138,2019-1132993,2019-06-28,Vente,239000.0,RUE DU FOSSE MIGNARD,77111,Chessy,1,Appartement,60.0,3.0,2.771584,48.858613,6,2019,3983.3333333333335
2711228,2019-1133045,2019-07-08,Vente,173780.0,AV DES FRENES,77307,Montévrain,2,Appartement,38.0,2.0,2.761009,48.871225,7,2019,4573.1578947368425
2711283,2019-1133076,2019-07-18,Vente,192000.0,SEN MEREVILLE,77111,Chessy,1,Appartement,43.0,2.0,2.768978,48.878094,7,2019,4465.116279069767
2711306,2019-1133088,2019-07-10,Vente,233000.0,CRS DU TAGE,77449,Serris,1,Appartement,49.0,2.0,2.786741,48.85467,7,2019,4755.102040816327
2711315,2019-1133095,2019-07-03,Vente,176000.0,AV DES FRENES,77307,Montévrain,1,Appartement,45.0,2.0,2.759956,48.871348,7,2019,3911.1111111111113
2711349,2019-1133116,2019-07-24,Vente,274500.0,AV DES FRENES,77307,Montévrain,1,Appartement,65.0,3.0,2.759956,48.871348,7,2019,4223.076923076923
2711382,2019-1133133,2019-07-22,Vente,176000.0,AV DE LA SOCIETE DES NATIONS,77307,Montévrain,1,Appartement,36.0,2.0,2.759889,48.859152,7,2019,4888.888888888889
